Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board
-5598.553192443036,-187500.02235174447,8110.799862241729,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9890735
-5569.317110695495,-187500.02235174447,8119.695856534941,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.991986
-5600.833070377478,-187500.02235174447,8110.039902930249,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9962544
-5635.746495216667,-187500.02235174447,8101.523888292777,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0000796
-5597.636770920369,-187500.02235174447,8107.625914529075,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0040755
-5553.201502943219,-187500.02235174447,8119.159414668014,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.00902
-5583.4434131912485,-187500.02235174447,8105.614257528098,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.013086
-5630.695000969768,-187500.02235174447,8091.733824221352,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0161753
-5604.811680890522,-187500.02235174447,8101.568591781687,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0199416
-5572.7592793416125,-187500.02235174447,8121.305182135723,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.024099
-5587.91376208231,-187500.02235174447,8126.5578420827205,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0281458
-5631.007925392142,-187500.02235174447,8099.668693502987,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.0330906
