x,y,z,time_board,time_marker,marker
0.084,-0.218,1.058,1728432665.0439672,1728432666.716592,1000
0.084,-0.218,1.058,1728432665.043978,1728432666.716592,1000
0.084,-0.218,1.058,1728432665.0439897,1728432666.716592,1000
0.084,-0.218,1.058,1728432665.0440009,1728432666.716592,1000
0.084,-0.218,1.058,1728432665.044012,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.044023,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.0440345,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.0440457,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.044057,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.044068,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.044099,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.0441108,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.0441215,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.0441327,1728432666.716592,1000
0.066,-0.228,1.108,1728432665.0441442,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0441554,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0441663,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0441778,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0441892,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0442004,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0442116,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0442283,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0442395,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.0442507,1728432666.716592,1000
0.058,-0.272,1.1420000000000001,1728432665.044262,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0442731,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0442843,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0442958,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0443068,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.044318,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0443296,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.044345,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.044356,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0443673,1728432666.716592,1000
0.114,-0.278,0.978,1728432665.0443785,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0443897,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444021,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.044414,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444252,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444365,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444472,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444589,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444703,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444825,1728432666.716592,1000
0.11800000000000001,-0.31,0.936,1728432665.0444932,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.044505,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.044516,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.0445273,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.0445385,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.044555,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.0445662,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.0445771,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.0445924,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.0446038,1728432666.716592,1000
0.108,-0.322,0.904,1728432665.044615,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.044626,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.0446377,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.044649,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.04466,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.044671,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.0446825,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.0446937,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.044705,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.524809,1728432666.716592,1000
0.166,-0.326,0.836,1728432665.5250704,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5255613,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.525574,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5255866,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5255997,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.525612,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5256248,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.525637,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5256493,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5256617,1728432666.716592,1000
0.158,-0.292,0.9420000000000001,1728432665.5256848,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.525697,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257096,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.525722,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257344,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257463,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257592,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257714,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257835,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.5257957,1728432666.716592,1000
0.096,-0.276,1.1320000000000001,1728432665.525808,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5258212,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5258331,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5258868,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5258992,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5259116,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5259264,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5259392,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5259516,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.5259638,1728432666.716592,1000
0.088,-0.242,1.064,1728432665.525976,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5259933,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5260055,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.526018,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5260298,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5260437,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.526056,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5260684,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5260808,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.5260935,1728432666.716592,1000
0.084,-0.232,1.058,1728432665.526106,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5261185,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.526131,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5261433,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5261557,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.526168,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5261803,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.526193,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5262053,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5262172,1728432666.716592,1000
0.046,-0.254,1.118,1728432665.5262294,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.5262423,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.5262592,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.5262716,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.526284,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.5262969,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.5263088,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.5263207,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.526333,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.526346,1728432666.716592,1000
0.098,-0.28,1.07,1728432665.526358,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5263703,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5263827,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.526395,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5264077,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5264196,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.526432,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5264444,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5264568,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5264688,1728432666.716592,1000
0.08,-0.294,1.008,1728432665.5264816,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5264938,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5265064,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5265193,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5265403,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.526553,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5265648,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.526577,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5265896,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.526602,1728432666.716592,1000
0.114,-0.316,0.886,1728432665.5266144,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5266263,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5266392,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5266514,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5266635,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5266817,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5266943,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5267067,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5267189,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5267308,1728432666.716592,1000
0.124,-0.326,0.86,1728432665.5267434,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.5267558,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.526768,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.52678,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.5267925,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.526809,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.5268211,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.5268335,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.5268462,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.5268595,1728432666.716592,1000
0.2,-0.244,0.684,1728432665.526872,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5268843,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5268967,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.526909,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5269213,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5269337,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.526946,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5269585,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5269706,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5269828,1728432666.716592,1000
-0.07200000000000001,-0.358,1.332,1728432665.5269954,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5270076,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5270195,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5270376,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5270503,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5270624,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5270784,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.527091,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5271032,1728432666.716592,1000
0.012,-0.292,1.252,1728432665.5271156,1728432666.716592,1000
0.012,-0.292,1.252,1728432666.0028555,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035188,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035305,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035408,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035503,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035603,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.00357,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035794,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.003589,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0035987,1728432666.716592,1000
0.052000000000000005,-0.252,1.122,1728432666.0036085,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.003618,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.0036273,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.0036373,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.003647,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.0036564,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.0036657,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.0036757,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.0036936,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.003703,1728432666.716592,1000
0.05,-0.258,1.088,1728432666.003713,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.003723,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0037324,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0037415,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0037513,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.003761,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0037704,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.00378,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0037897,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0037994,1728432666.716592,1000
0.058,-0.244,1.12,1728432666.0038092,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038185,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038283,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038395,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038493,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038583,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038683,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.003878,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0038877,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.003901,1728432666.716592,1000
0.08,-0.252,1.032,1728432666.0039113,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039208,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.003931,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039413,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039523,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039628,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039723,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039818,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0039916,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.0040028,1728432666.716592,1000
0.066,-0.294,1.01,1728432666.004012,1728432666.716592,1000
